cohorte,traffic_source,page_views,session_duration,bounce_rate,time_on_page,previous_visits,conversion_rate
Fidèle,Direct,4.562,2.779,0.25,5.117,5.5,0.99
Fidèle,Organic,5.432,2.953,0.233,3.884,5.409,0.993
Fidèle,Paid,4.636,3.469,0.332,3.062,5.364,0.996
Fidèle,Referral,5.053,2.055,0.224,4.192,5.526,1.0
Fidèle,Social,5.643,2.318,0.227,3.091,5.714,1.0
Nouveau,Direct,4.676,2.968,0.294,4.119,0.0,0.97
Nouveau,Organic,5.066,3.127,0.259,4.009,0.0,0.965
Nouveau,Paid,5.349,3.012,0.326,4.202,0.0,0.96
Nouveau,Referral,5.136,3.39,0.278,3.148,0.0,0.977
Nouveau,Social,4.577,3.26,0.297,4.268,0.0,0.969
Occasionnel,Direct,5.029,2.576,0.285,4.049,1.578,0.977
Occasionnel,Organic,4.904,3.148,0.286,4.034,1.507,0.982
Occasionnel,Paid,4.968,2.893,0.282,4.233,1.534,0.978
Occasionnel,Referral,4.856,3.13,0.282,4.11,1.461,0.985
Occasionnel,Social,4.674,3.101,0.304,4.37,1.493,0.981
Régulier,Direct,5.131,2.695,0.288,3.373,3.262,0.984
Régulier,Organic,5.18,3.03,0.295,3.859,3.325,0.989
Régulier,Paid,4.791,2.925,0.31,3.911,3.318,0.986
Régulier,Referral,5.169,3.238,0.234,4.153,3.324,0.998
Régulier,Social,4.627,2.948,0.294,3.936,3.356,0.993
